dataset_id,dataset_name,event_rate,seed,fold,auroc_none,auroc_rus,auroc_ros,auroc_smote,slope_none,slope_ros,slope_smote
40983,wilt,0.0539,0,0,0.5136,0.7364,0.9954,0.9963,0.447,1.451,1.013
40983,wilt,0.0539,0,1,0.4802,0.8380,0.9981,0.9978,0.248,1.324,1.226
40983,wilt,0.0539,0,2,0.5304,0.8209,0.9858,0.9914,0.413,1.004,1.350
40983,wilt,0.0539,0,4,0.5850,0.7790,0.9980,0.9966,0.744,1.233,1.808
40983,wilt,0.0539,2,0,0.4302,0.7855,0.9953,0.9936,-0.712,1.073,1.283
40983,wilt,0.0539,2,1,0.3851,0.8505,0.9982,0.9979,-0.990,1.288,0.961
40983,wilt,0.0539,2,2,0.4518,0.6572,0.9961,0.9962,-0.459,0.986,0.855
40983,wilt,0.0539,2,3,0.4492,0.7671,0.9843,0.9866,-0.433,0.588,0.701
40983,wilt,0.0539,2,4,0.4369,0.9629,0.9979,0.9983,-0.438,0.996,1.133
40983,wilt,0.0539,4,0,0.5254,0.9885,0.9854,0.9873,0.483,0.720,0.929
40983,wilt,0.0539,4,1,0.5668,0.9059,0.9973,0.9978,1.161,1.065,1.172
40983,wilt,0.0539,4,2,0.4884,0.9914,0.9975,0.9975,-0.129,1.021,1.326
40983,wilt,0.0539,4,3,0.5063,0.9899,0.9958,0.9961,0.056,0.769,0.720
1487,ozone-level-8hr,0.0631,0,0,0.4674,0.8957,0.9372,0.9350,0.067,0.395,0.391
1487,ozone-level-8hr,0.0631,0,2,0.4366,0.8086,0.8770,0.8793,0.023,0.284,0.282
1487,ozone-level-8hr,0.0631,0,4,0.5175,0.8520,0.9182,0.9206,0.239,0.339,0.335
1487,ozone-level-8hr,0.0631,2,3,0.5432,0.9034,0.8730,0.8646,0.212,0.283,0.274
