model,condition,n,cal_slope_mean,cal_slope_lo,cal_slope_hi,cal_intercept_mean,cal_intercept_lo,cal_intercept_hi,ece_mean,ece_lo,ece_hi,brier_mean,brier_lo,brier_hi,H2_slope,H2_intercept,H2_ece
logreg,none,200,0.9835683755435286,0.41763758802897644,1.9123918350842815,0.013232780205668673,-0.44996097985301353,0.638302875099948,0.03365528946447074,0.012540552941375764,0.0778909156635217,0.06765488489173141,0.02299307691090598,0.14204670311576123,ref,ref,ref
logreg,rus,200,0.8726948110517967,0.42178926569600256,2.033344510468679,-2.4157119286669997,-4.291408994762545,-1.4210733738397032,0.19284536080336193,0.06574919782220391,0.2696211073485732,0.12961669374000043,0.05323510285126868,0.21373701233005185,PASS,PASS,PASS
logreg,ros,200,0.7740489981440289,0.3649873232923487,1.2180238968969024,-2.038262531672097,-2.993354064418347,-0.8297527895601979,0.16371598630417417,0.02775233890652314,0.26618222271637587,0.11468412841886205,0.029082844967545884,0.21243194601125828,PASS,PASS,PASS
logreg,smote,200,0.7250289381761869,0.3308185990949643,1.0848987555304415,-2.1579941448403774,-3.2896233591689716,-1.3946480361586369,0.1564075742189137,0.034456709146973935,0.26610398085393483,0.11292319110632718,0.03303980643323566,0.21317761624798867,PASS,PASS,PASS
xgboost,none,200,0.7775654029463877,0.4539996792263099,1.0465440030139026,0.45629024835426607,-0.20116788147638534,1.4487864771504892,0.025304028907096984,0.0025914391373229703,0.07706594648611333,0.05413417082464358,0.006836705514297771,0.13918378786357177,ref,ref,ref
xgboost,rus,200,0.7191989994346585,0.33165258656926255,1.179349025642087,-2.6246465426345766,-4.187591579353364,-1.545014492802142,0.13814547107532785,0.043191851995058365,0.2628355300778723,0.11186066580712546,0.027934015229488098,0.24199804703281586,PASS,PASS,PASS
xgboost,ros,200,0.6983345777035446,0.400208763210808,0.9675474304084831,-0.5588180969156004,-1.6013024762662595,0.6814690901656365,0.05351848865815842,0.0036572661860696347,0.13887524548192887,0.06267239128275603,0.006271877726909974,0.16826440311887228,PASS,PASS,PASS
xgboost,smote,200,0.731052641902188,0.4062790206316223,1.0073065389081353,-0.32426974390168944,-2.0452343929673837,0.5809214133390241,0.029076014561743177,0.0029841542287491083,0.08497642542129208,0.05587935133486489,0.005807551221785294,0.1423194371216976,PASS,FAIL,PASS
mlp,none,200,0.9994402222795518,-0.13625485203962528,2.8267189845813414,-0.23437446612526017,-2.1041933489080282,0.5164386418112132,0.05195787612035696,0.008142180811306373,0.261430222906994,0.07183949819586584,0.016140999678510726,0.14430570426849332,ref,ref,ref
mlp,rus,200,1.3719945795783934,0.5704190619116656,3.533140912910231,-2.2646350005520257,-3.4665374204527337,-1.3886117020629616,0.2598342295418268,0.1168250349517467,0.43788190183853853,0.16422197566120272,0.05926091464552514,0.2681640514917792,PASS,PASS,PASS
mlp,ros,200,0.567226168881584,0.22440632150159304,1.2347113391380506,-1.3683836010923338,-2.936829435307291,0.04105826498192188,0.09454649087962974,0.01671274916538966,0.2660570372062117,0.08558165115072267,0.015171989308403251,0.21439164228412147,PASS,PASS,PASS
mlp,smote,200,0.5421515856198242,0.25845135097763045,1.3267103938704388,-1.3410576424791503,-2.569225018709671,-0.02355513279799823,0.09282750602520312,0.014547309131994823,0.24985872730836903,0.08604900593271722,0.011622079967828531,0.209099623055136,PASS,PASS,PASS
