model,condition,eventrate_mean,eventrate_lo,eventrate_hi,050_mean,050_lo,050_hi,100_mean,100_lo,100_hi,200_mean,200_lo,200_hi,n
logreg,none,0.06917817165236814,0.03706001701313228,0.12551489629095577,0.09171095570546683,0.04075109892747633,0.1519764040325895,0.07773973468154721,0.029379399864349696,0.12774809160305345,0.059003677462916994,0.017246055226824458,0.12272294207317073,200
logreg,rus,0.03777397007835755,0.00465382068931902,0.11590241302780496,0.080503001642137,0.00842507370229311,0.15096765224959507,0.05150291655546729,-0.027203856749311292,0.1197704945799458,0.009409485929821205,-0.06253228305785125,0.10841187046173897,200
logreg,ros,0.04352299364768298,0.0061924445121393674,0.12262296477685523,0.08433962657566901,0.031534090909090914,0.15096765224959507,0.059513147861408607,0.02075389017983062,0.12536416635635822,0.023105962356292052,-0.008888067061143987,0.11970274390243904,200
logreg,smote,0.04615821720716776,0.005732632415131461,0.12159858264141153,0.08570511402526446,0.03360156589821661,0.15096765224959507,0.06199896995810492,0.023225988986858542,0.1233104674796748,0.02708269510954766,-0.002549544095116703,0.11854039634146343,200
logreg,none_threshold,0.06917817165236814,0.03706001701313228,0.12551489629095577,0.09171095570546683,0.04075109892747633,0.1519764040325895,0.07773973468154721,0.029379399864349696,0.12774809160305345,0.059003677462916994,0.017246055226824458,0.12272294207317073,200
xgboost,none,0.0752812527884102,0.030861951217080498,0.12718437824338352,0.09278066799577182,0.03290771306965639,0.15177997243913643,0.08242486538406459,0.026692965154503617,0.12892637156333397,0.06854119326408373,0.01824457593688363,0.12656250000000002,200
xgboost,rus,0.06220594373639999,0.03417641643777344,0.11497340425531916,0.09125059559539833,0.040047233468286106,0.15296400164398133,0.07423579650381247,0.021696252465483234,0.11653963414634147,0.04607148123715799,-0.011353550295857983,0.11128048780487806,200
xgboost,ros,0.07198769090242046,0.03590654504403085,0.1302161939167,0.09388961912423731,0.03715014962154551,0.15267328288567075,0.08210935869524928,0.030221345605960993,0.13077997967479676,0.06445634786940914,0.021203155818540435,0.12694359756097565,200
xgboost,smote,0.07626969952875555,0.03633711027917495,0.1290696104993523,0.09462361618434084,0.03837963435965548,0.1523178928027464,0.08428123766237143,0.030007670392285773,0.1292783324541261,0.06939105439933074,0.018280632411067196,0.12691033152578665,200
xgboost,none_threshold,0.0752812527884102,0.030861951217080498,0.12718437824338352,0.09278066799577182,0.03290771306965639,0.15177997243913643,0.08242486538406459,0.026692965154503617,0.12892637156333397,0.06854119326408373,0.01824457593688363,0.12656250000000002,200
mlp,none,0.06415823124590016,-0.00017127368044799612,0.12663625515970323,0.08819274154156342,0.003973118960943857,0.15218915455842175,0.06802345937607274,-0.0511950792592656,0.12689506014812058,0.037051974214894395,-0.1761428202479339,0.12461890243902439,200
mlp,rus,0.02706541546360805,-0.0006472397285580134,0.08799891346652831,0.07553224433628813,0.004023488473249237,0.15094408045838068,0.03792860258348085,-0.05051365932047751,0.10427193385392741,-0.033229957379817036,-0.1802944214876033,0.08049733231707319,200
mlp,ros,0.06119663027280376,0.006977759595953997,0.12363161650233524,0.0905741465510333,0.038559959394059505,0.150931992360322,0.0756809226278453,0.03132259478413324,0.12585535230352304,0.050546951377562266,-0.0006890215893431146,0.1215987042682927,200
mlp,smote,0.06142843918736995,0.013074440388736158,0.12367969966268813,0.0898302192814521,0.037015820316043474,0.15016198051398594,0.07527368511092558,0.029366644751260135,0.12536839430894312,0.05080131178473752,0.007094051446945338,0.12119855182926831,200
mlp,none_threshold,0.06415823124590016,-0.00017127368044799612,0.12663625515970323,0.08819274154156342,0.003973118960943857,0.15218915455842175,0.06802345937607274,-0.0511950792592656,0.12689506014812058,0.037051974214894395,-0.1761428202479339,0.12461890243902439,200
