model,threshold,contrast,n_pairs,diff_mean,diff_lo,diff_hi,H3_pass
logreg,NB@eventrate,none_threshold - rus,200,0.03140420157401059,0.0037605369111897292,0.06251089701626995,PASS
logreg,NB@eventrate,none_threshold - ros,200,0.025655178004685163,-0.0018528580499753648,0.0628656957051384,PASS
logreg,NB@eventrate,none_threshold - smote,200,0.023019954445200382,-0.0018732687613511908,0.058973255016263985,PASS
logreg,NB@0.05,none_threshold - rus,200,0.011207954063329835,-0.0013940147625160512,0.03565737379410049,PASS
logreg,NB@0.05,none_threshold - ros,200,0.0073713291297978125,-0.0026266416510318954,0.016368351203157196,PASS
logreg,NB@0.05,none_threshold - smote,200,0.006005841680202382,-0.0035295497185741055,0.013763984446850374,PASS
logreg,NB@0.10,none_threshold - rus,200,0.02623681812607993,0.0006537288930581598,0.07048037190082644,PASS
logreg,NB@0.10,none_threshold - ros,200,0.01822658682013862,-0.0003434920561037699,0.03789611637704055,PASS
logreg,NB@0.10,none_threshold - smote,200,0.015740764723442307,-0.0005118633841663817,0.03582148499210112,PASS
logreg,NB@0.20,none_threshold - rus,200,0.049594191533095786,0.009146341463414628,0.09870867768595043,PASS
logreg,NB@0.20,none_threshold - ros,200,0.03589771510662494,0.0011432926829268164,0.07151249999999999,PASS
logreg,NB@0.20,none_threshold - smote,200,0.031920982353369334,0.0022865853658536467,0.0664991961414791,PASS
xgboost,NB@eventrate,none_threshold - rus,200,0.013075309052010209,-0.006347528867132264,0.03517214651758675,PASS
xgboost,NB@eventrate,none_threshold - ros,200,0.0032935618859897364,-0.006389151942754143,0.022535482244214245,PASS
xgboost,NB@eventrate,none_threshold - smote,200,-0.00098844674034534,-0.009689660673070692,0.005704886625503513,PASS
xgboost,NB@0.05,none_threshold - rus,200,0.0015300724003734741,-0.01976490396607632,0.01390402759948652,PASS
xgboost,NB@0.05,none_threshold - ros,200,-0.0011089511284655105,-0.01187394314468973,0.004425970369031125,PASS
xgboost,NB@0.05,none_threshold - smote,200,-0.0018429481885690424,-0.010885069164451245,0.002271250271982208,PASS
xgboost,NB@0.10,none_threshold - rus,200,0.008189068880252113,-0.009498420221169037,0.027136111111111118,PASS
xgboost,NB@0.10,none_threshold - ros,200,0.00031550668881530624,-0.008995759671306312,0.008581228621357316,PASS
xgboost,NB@0.10,none_threshold - smote,200,-0.001856372278306844,-0.009744968544640442,0.0029028436018957277,PASS
xgboost,NB@0.20,none_threshold - rus,200,0.022469712026925742,0.0062995261475222615,0.04352592042755345,PASS
xgboost,NB@0.20,none_threshold - ros,200,0.004084845394674598,-0.007396449704142015,0.02367076251722555,PASS
xgboost,NB@0.20,none_threshold - smote,200,-0.0008498611352470147,-0.0088908129784907,0.00841138564711612,PASS
mlp,NB@eventrate,none_threshold - rus,200,0.0370928157822921,-0.005914609262912108,0.07762236493161291,PASS
mlp,NB@eventrate,none_threshold - ros,200,0.00296160097309639,-0.04932648408497638,0.05242776051946324,PASS
mlp,NB@eventrate,none_threshold - smote,200,0.0027297920585301998,-0.05027835357928143,0.049246559064849885,PASS
mlp,NB@0.05,none_threshold - rus,200,0.01266049720527529,-0.004624415464571847,0.04031691325825412,PASS
mlp,NB@0.05,none_threshold - ros,200,-0.0023814050094698815,-0.044918986515876475,0.01435305317514688,PASS
mlp,NB@0.05,none_threshold - smote,200,-0.0016374777398886608,-0.04568273693026913,0.01383446220787567,PASS
mlp,NB@0.10,none_threshold - rus,200,0.030094856792591888,-0.017565425810231666,0.08874172185430462,PASS
mlp,NB@0.10,none_threshold - ros,200,-0.007657463251772555,-0.09688073624275091,0.02843770755704653,PASS
mlp,NB@0.10,none_threshold - smote,200,-0.0072502257348528295,-0.09930526770478121,0.026362559241706163,PASS
mlp,NB@0.20,none_threshold - rus,200,0.07028193159471144,-0.06166936151149582,0.2086576338995556,PASS
mlp,NB@0.20,none_threshold - ros,200,-0.013494977162667869,-0.21978305785123967,0.058230937069361506,PASS
mlp,NB@0.20,none_threshold - smote,200,-0.013749337569843116,-0.22105167185510272,0.05248047772163525,PASS
