model,condition,threshold,n,n_nb_lt_0,frac_nb_lt_0,frac_nb_lt_0_lo,frac_nb_lt_0_hi,n_pairs,n_corr_lt_0_and_none_gt_0,frac_corr_lt_0_and_none_gt_0,frac_corr_lt_0_and_none_gt_0_lo,frac_corr_lt_0_and_none_gt_0_hi
logreg,none,NB@eventrate,200,0,0.0,0.0,0.0,200,0,,,
logreg,none,NB@0.05,200,0,0.0,0.0,0.0,200,0,,,
logreg,none,NB@0.10,200,0,0.0,0.0,0.0,200,0,,,
logreg,none,NB@0.20,200,0,0.0,0.0,0.0,200,0,,,
logreg,rus,NB@eventrate,200,2,0.01,0.0,0.025,200,2,0.01,0.0,0.025
logreg,rus,NB@0.05,200,0,0.0,0.0,0.0,200,0,0.0,0.0,0.0
logreg,rus,NB@0.10,200,25,0.125,0.08,0.175,200,25,0.125,0.08,0.175
logreg,rus,NB@0.20,200,82,0.41,0.34,0.475,200,82,0.41,0.34,0.475
logreg,ros,NB@eventrate,200,1,0.005,0.0,0.015,200,1,0.005,0.0,0.015
logreg,ros,NB@0.05,200,0,0.0,0.0,0.0,200,0,0.0,0.0,0.0
logreg,ros,NB@0.10,200,0,0.0,0.0,0.0,200,0,0.0,0.0,0.0
logreg,ros,NB@0.20,200,41,0.205,0.15,0.265,200,41,0.205,0.15,0.265
logreg,smote,NB@eventrate,200,0,0.0,0.0,0.0,200,0,0.0,0.0,0.0
logreg,smote,NB@0.05,200,0,0.0,0.0,0.0,200,0,0.0,0.0,0.0
logreg,smote,NB@0.10,200,0,0.0,0.0,0.0,200,0,0.0,0.0,0.0
logreg,smote,NB@0.20,200,30,0.15,0.1,0.2,200,30,0.15,0.1,0.2
xgboost,none,NB@eventrate,200,0,0.0,0.0,0.0,200,0,,,
xgboost,none,NB@0.05,200,0,0.0,0.0,0.0,200,0,,,
xgboost,none,NB@0.10,200,0,0.0,0.0,0.0,200,0,,,
xgboost,none,NB@0.20,200,0,0.0,0.0,0.0,200,0,,,
xgboost,rus,NB@eventrate,200,0,0.0,0.0,0.0,200,0,0.0,0.0,0.0
xgboost,rus,NB@0.05,200,0,0.0,0.0,0.0,200,0,0.0,0.0,0.0
xgboost,rus,NB@0.10,200,0,0.0,0.0,0.0,200,0,0.0,0.0,0.0
xgboost,rus,NB@0.20,200,23,0.115,0.075,0.16,200,23,0.115,0.075,0.16
xgboost,ros,NB@eventrate,200,0,0.0,0.0,0.0,200,0,0.0,0.0,0.0
xgboost,ros,NB@0.05,200,0,0.0,0.0,0.0,200,0,0.0,0.0,0.0
xgboost,ros,NB@0.10,200,0,0.0,0.0,0.0,200,0,0.0,0.0,0.0
xgboost,ros,NB@0.20,200,0,0.0,0.0,0.0,200,0,0.0,0.0,0.0
xgboost,smote,NB@eventrate,200,0,0.0,0.0,0.0,200,0,0.0,0.0,0.0
xgboost,smote,NB@0.05,200,0,0.0,0.0,0.0,200,0,0.0,0.0,0.0
xgboost,smote,NB@0.10,200,0,0.0,0.0,0.0,200,0,0.0,0.0,0.0
xgboost,smote,NB@0.20,200,0,0.0,0.0,0.0,200,0,0.0,0.0,0.0
mlp,none,NB@eventrate,200,8,0.04,0.015,0.07,200,0,,,
mlp,none,NB@0.05,200,0,0.0,0.0,0.0,200,0,,,
mlp,none,NB@0.10,200,26,0.13,0.085,0.175,200,0,,,
mlp,none,NB@0.20,200,30,0.15,0.1,0.19512499999999933,200,0,,,
mlp,rus,NB@eventrate,200,35,0.175,0.125,0.23,200,32,0.16,0.11,0.215
mlp,rus,NB@0.05,200,0,0.0,0.0,0.0,200,0,0.0,0.0,0.0
mlp,rus,NB@0.10,200,72,0.36,0.295,0.425,200,47,0.235,0.18,0.295
mlp,rus,NB@0.20,200,118,0.59,0.52,0.655,200,89,0.445,0.38,0.515
mlp,ros,NB@eventrate,200,1,0.005,0.0,0.015,200,1,0.005,0.0,0.015
mlp,ros,NB@0.05,200,0,0.0,0.0,0.0,200,0,0.0,0.0,0.0
mlp,ros,NB@0.10,200,0,0.0,0.0,0.0,200,0,0.0,0.0,0.0
mlp,ros,NB@0.20,200,8,0.04,0.015,0.07,200,8,0.04,0.015,0.07
mlp,smote,NB@eventrate,200,0,0.0,0.0,0.0,200,0,0.0,0.0,0.0
mlp,smote,NB@0.05,200,0,0.0,0.0,0.0,200,0,0.0,0.0,0.0
mlp,smote,NB@0.10,200,0,0.0,0.0,0.0,200,0,0.0,0.0,0.0
mlp,smote,NB@0.20,200,0,0.0,0.0,0.0,200,0,0.0,0.0,0.0
